,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Thompson,40,CA,1560443204,42,55.74,-97.86,66.2,4.7
1,Geraldton,75,CA,1560443205,48,49.72,-86.95,60.8,6.93
2,Butaritari,100,KI,1560443206,81,3.07,172.79,84.12,17.02
3,Tuatapere,100,NZ,1560443207,95,-46.13,167.69,42.01,4.36
4,Carnarvon,0,ZA,1560443208,23,-30.97,22.13,52.62,7.2
5,Namibe,0,AO,1560442801,57,-15.19,12.15,76.02,12.55
6,Mataura,100,NZ,1560443211,95,-46.19,168.86,42.01,4.34
7,Sao Jose da Coroa Grande,0,BR,1560443212,81,-8.9,-35.15,80.7,10.47
8,Lorengau,100,PG,1560442630,90,-2.02,147.27,77.64,2.01
9,Mochalishche,0,RU,1560443214,31,56.33,48.35,60.8,8.95
10,Ushuaia,0,AR,1560443215,86,-54.81,-68.31,32.0,4.97
11,Tocopilla,50,CL,1560442931,89,-22.09,-70.2,60.9,20.02
12,Dikson,90,RU,1560443217,90,73.51,80.55,32.82,12.57
13,Atuona,0,PF,1560443219,74,-9.8,-139.03,81.24,13.11
14,Ponta do Sol,1,BR,1560443220,65,-20.63,-46.0,72.78,7.02
15,Crasna,40,RO,1560443221,57,45.18,23.52,70.62,2.95
16,Henties Bay,0,NA,1560442757,70,-22.12,14.28,66.99,5.01
17,Heihe,90,RU,1560443223,100,50.24,127.51,53.6,11.18
18,Faro,20,PT,1560442946,60,37.02,-7.94,80.01,18.34
19,Upernavik,73,GL,1560443225,58,72.79,-56.15,44.16,11.48
20,Jamestown,100,AU,1560443008,88,-33.21,138.6,51.9,5.79
21,East London,0,ZA,1560443228,76,-33.02,27.91,51.8,4.7
22,Tuktoyaktuk,90,CA,1560443229,85,69.44,-133.03,35.6,12.75
23,Albany,90,US,1560443124,82,42.65,-73.75,59.0,12.75
24,Flin Flon,90,CA,1560443231,67,54.77,-101.88,59.0,6.93
25,Nishihara,1,JP,1560443233,88,35.74,139.53,72.0,9.69
26,Kamaishi,33,JP,1560443234,98,39.28,141.86,46.5,1.59
27,Yellowknife,40,CA,1560443175,59,62.45,-114.38,66.2,2.24
28,Bredasdorp,0,ZA,1560443236,57,-34.53,20.04,50.0,4.7
29,Port Alfred,0,ZA,1560443237,78,-33.59,26.89,53.01,5.12
30,Mirabad,0,IR,1560443239,7,28.27,61.33,80.88,9.1
31,Jakarta,40,ID,1560443240,74,-6.18,106.83,84.2,2.24
32,Cape Town,0,ZA,1560443047,62,-33.93,18.42,55.99,6.93
33,Barrow,99,AR,1560443242,79,-38.31,-60.23,56.94,10.92
34,Tasiilaq,40,GL,1560443243,71,65.61,-37.64,51.8,14.99
35,Kapit,100,MY,1560443244,92,2.02,112.94,75.84,0.16
36,Hermanus,0,ZA,1560443246,61,-34.42,19.24,54.0,1.01
37,Svetlogorsk,20,RU,1560442697,45,53.14,59.15,55.4,17.9
38,Hobart,75,AU,1560443168,57,-42.88,147.33,50.0,8.05
39,Bay Roberts,75,CA,1560443249,58,47.58,-53.28,57.99,23.04
40,Busselton,55,AU,1560443250,75,-33.64,115.35,53.01,12.26
41,Georgetown,20,GY,1560443085,79,6.8,-58.16,84.2,9.17
42,Avarua,100,CK,1560443253,83,-21.21,-159.78,77.0,13.87
43,Qaqortoq,20,GL,1560443254,38,60.72,-46.03,59.0,8.05
44,Katherine,9,AU,1560443255,68,-14.47,132.26,68.0,3.36
45,Cidreira,100,BR,1560443256,54,-30.17,-50.22,79.8,4.21
46,Leningradskiy,0,RU,1560442693,67,69.38,178.42,44.52,3.36
47,Mazagao,40,BR,1560443259,66,-0.12,-51.29,87.8,8.05
48,Omboue,33,GA,1560443260,80,-1.57,9.26,75.48,11.77
49,Hastings,100,NZ,1560442705,98,-39.64,176.84,56.04,6.46
50,Salalah,75,OM,1560443047,84,17.01,54.1,87.8,12.75
51,Punta Arenas,75,CL,1560443263,84,-53.16,-70.91,33.8,3.36
52,Bredy,26,RU,1560443264,50,52.43,60.33,57.84,12.26
53,Kapaa,75,US,1560443147,88,22.08,-159.32,71.6,5.82
54,Abyek,20,IR,1560443266,6,36.04,50.53,87.8,11.41
55,Solnechnyy,100,RU,1560442698,99,50.72,136.64,45.96,7.05
56,Saint-Ambroise,0,FR,1560443269,49,47.25,-0.65,72.0,12.75
57,Rikitea,49,PF,1560443270,70,-23.12,-134.97,70.26,18.79
58,San Quintin,99,PH,1560443271,80,17.54,120.52,79.26,4.25
59,Kodiak,1,US,1560443272,9,39.95,-94.76,70.0,3.36
60,Arraial do Cabo,0,BR,1560443273,62,-22.97,-42.02,84.2,9.17
61,Tankara,40,IN,1560443275,78,22.66,70.75,84.0,17.22
62,Qaanaaq,99,GL,1560443276,87,77.48,-69.36,37.5,3.29
63,Krasnoturansk,0,RU,1560443277,77,54.32,91.57,60.8,2.24
64,Quatre Cocos,40,MU,1560443278,73,-20.21,57.76,73.4,12.75
65,Khargone,65,IN,1560443279,39,21.82,75.61,95.64,14.34
66,Benghazi,4,LY,1560443281,37,32.12,20.07,88.26,5.26
67,Bambous Virieux,40,MU,1560443282,73,-20.34,57.76,73.4,12.75
68,Provideniya,0,RU,1560443283,61,64.42,-173.23,51.9,3.22
69,Mahebourg,40,MU,1560443284,73,-20.41,57.7,73.4,12.75
70,Puerto Ayora,20,EC,1560443285,69,-0.74,-90.35,80.6,17.22
71,Pacific Grove,75,US,1560443286,77,36.62,-121.92,63.0,5.82
72,Hilo,1,US,1560443288,68,19.71,-155.08,69.8,5.82
73,Ler,40,NO,1560443289,52,63.2,10.3,66.99,13.87
74,Volgodonsk,29,RU,1560443290,33,47.51,42.17,89.7,6.49
75,Tiksi,50,RU,1560443291,71,71.64,128.87,37.32,8.59
76,Codrington,40,AU,1560443292,93,-28.95,153.24,64.0,8.05
77,Vaini,100,IN,1560443294,89,15.34,74.49,79.8,5.35
78,Kamenka,0,RU,1560443295,65,53.19,44.05,58.74,10.8
79,Pochutla,75,MX,1560443296,69,15.74,-96.47,86.0,1.21
80,Zelezniki,20,SI,1560443297,37,46.23,14.17,84.99,12.75
81,Campo Largo,0,BR,1560443299,47,-25.46,-49.53,77.0,6.93
82,Ribeira Grande,40,PT,1560443300,73,38.52,-28.7,69.8,17.22
83,Chokurdakh,8,RU,1560443301,28,70.62,147.9,69.72,8.72
84,Baiyin,0,CN,1560443302,40,36.55,104.13,71.6,6.71
85,Arlit,37,NE,1560443303,11,18.74,7.39,106.08,8.86
86,Ilulissat,40,GL,1560443305,66,69.22,-51.1,48.2,9.17
87,Aasiaat,12,GL,1560443306,85,68.71,-52.87,37.68,5.39
88,Airai,17,TL,1560443307,61,-8.93,125.41,74.04,6.76
89,Pangai,0,TO,1560443308,86,-19.8,-174.35,76.38,9.51
90,Castro,20,CL,1560443310,93,-42.48,-73.76,44.6,5.82
91,Norman Wells,90,CA,1560443311,87,65.28,-126.83,48.2,14.99
92,Hithadhoo,98,MV,1560443312,78,-0.6,73.08,84.3,4.79
93,Yangambi,95,CD,1560443313,55,0.77,24.47,87.0,2.15
94,Sambava,100,MG,1560442768,82,-14.27,50.17,68.1,3.47
95,Macenta,96,GN,1560443315,71,8.55,-9.47,81.06,2.37
96,Jiangyou,79,CN,1560443317,92,31.78,104.73,66.48,1.48
97,Abonnema,78,NG,1560443318,83,4.71,6.79,78.36,8.75
98,Hvide Sande,20,DK,1560443319,55,56.01,8.13,68.0,12.75
99,Deputatskiy,98,RU,1560443320,54,69.3,139.9,53.52,8.77
100,Bonavista,98,CA,1560443321,63,48.65,-53.11,57.0,11.01
101,Vardo,90,US,1560443060,93,39.62,-77.74,66.0,8.05
102,Los Llanos de Aridane,75,ES,1560443324,64,28.66,-17.92,71.6,4.7
103,Caconda,0,AO,1560443325,22,-13.73,15.06,78.0,5.48
104,Kavieng,100,PG,1560442857,74,-2.57,150.8,82.68,3.33
105,Yatou,4,CM,1560443327,81,3.63,9.81,81.24,14.85
106,Pisco,20,PE,1560443328,30,-13.71,-76.2,71.6,10.29
107,Chapais,75,CA,1560443330,40,49.78,-74.86,69.8,7.47
108,Minggang,0,CN,1560443331,39,32.45,114.03,75.66,4.72
109,Chuy,100,UY,1560442661,94,-33.69,-53.46,67.56,6.13
110,Hobyo,8,SO,1560443333,51,5.35,48.53,88.44,27.02
111,Saint-Philippe,75,CA,1560443334,48,45.36,-73.48,68.0,13.87
112,San Patricio,80,PY,1560442877,59,-26.98,-56.83,79.44,13.53
113,Severo-Kurilsk,100,RU,1560443336,86,50.68,156.12,41.64,5.55
114,Dudinka,75,RU,1560443338,93,69.41,86.18,39.2,11.18
115,Bluff,0,AU,1560443339,90,-23.58,149.07,61.44,4.34
116,Agadir,40,MA,1560443340,47,30.42,-9.58,77.0,14.99
117,Bima,0,ID,1560443341,98,-8.45,118.73,71.88,3.53
118,Hornepayne,38,CA,1560443343,33,49.22,-84.78,60.18,6.15
119,Lanester,75,FR,1560443344,67,47.76,-3.34,62.01,16.11
120,Jackson,20,US,1560443220,60,35.61,-88.82,75.0,3.36
121,Clermont,0,AU,1560443340,84,-22.82,147.64,61.62,5.82
122,Egvekinot,96,RU,1560443348,52,66.32,-179.17,58.2,0.65
123,Lavrentiya,26,RU,1560443349,59,65.58,-170.99,56.58,2.06
124,Carahue,75,CL,1560443350,93,-38.71,-73.16,48.2,9.17
125,Fortuna,0,ES,1560443352,44,38.18,-1.13,77.0,13.87
126,Durango,1,US,1560443280,32,37.28,-107.88,75.2,5.82
127,Saldanha,0,PT,1560443354,28,41.42,-6.55,70.44,7.05
128,New Norfolk,75,AU,1560443355,57,-42.78,147.06,50.0,10.29
129,Adre,93,TD,1560443356,26,13.47,22.2,94.02,7.72
130,Hasaki,20,JP,1560443357,93,35.73,140.83,61.0,5.82
131,Victoria,75,BN,1560443359,100,5.28,115.24,77.0,3.36
132,Lompoc,90,US,1560443229,82,34.64,-120.46,62.01,4.7
133,Tubuala,40,PA,1560443362,79,9.52,-79.03,86.0,5.82
